trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
387,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-142.69906170067534,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
388,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-130.46309247409982,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
389,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-66.27600147894461,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
390,False,"{'a': 0.4, 'e': 0.9999999}",25,16,1.946204959258832,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-97.18273947761277,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
392,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-175.08376197285776,"{0: 11, 1: 4, 2: 5, 3: 4, 4: 1}",0
393,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-177.92882703876685,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
394,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-268.17203279977315,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
395,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-128.94752795753644,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
396,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-90.57269537533561,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
397,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-52.50021593765974,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
398,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-67.79022535085096,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
399,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-117.87667078681227,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
400,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-140.62216163998264,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
401,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-125.04148881039943,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
402,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-65.2034471249652,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
403,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-76.16027162123363,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
404,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-179.85178304644552,"{0: 10, 1: 0, 2: 13, 3: 1, 4: 1}",0
405,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-156.30971024837214,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
406,False,"{'a': 0.4, 'e': 0.9999999}",35,8,-84.11915722405034,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 0}",1
407,False,"{'a': 0.4, 'e': 0.9999999}",25,10,-112.85248738949045,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 2}",1
408,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-93.52480151260698,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
409,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-26.35307574837282,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
